start_timestamp,end_timestamp,duration_ms,x,y,n_samples,duration_sec,aoi,file,page,visit_number,calibration_accuracy,calibration_good,eye_data_included
1766479635550,1766479635665,115,536.0,98.0,3,0.115,outside_aoi,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
1766479635748,1766479635885,137,583.0,86.0,3,0.137,outside_aoi,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
1766479636552,1766479636669,117,865.0,199.0,3,0.117,text,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
1766479641755,1766479641866,111,724.0,725.0,3,0.111,image,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
1766479643423,1766479643723,300,501.5,287.5,6,0.3,text,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
1766479643876,1766479644000,124,449.0,270.0,3,0.124,text,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
1766479644190,1766479644317,127,485.0,190.0,3,0.127,text,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
1766479647636,1766479647783,147,785.0,154.0,3,0.147,outside_aoi,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
1766479654016,1766479654142,126,949.0,123.0,3,0.126,outside_aoi,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
1766479654189,1766479654343,154,967.5,141.0,4,0.154,outside_aoi,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
1766479654593,1766479654841,248,824.0,147.0,5,0.248,outside_aoi,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
1766479655061,1766479655200,139,790.0,174.0,3,0.139,text,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
1766479657598,1766479657787,189,744.0,258.0,3,0.189,text,p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,79.0,True,True
