page,n_files,n_visits,mean_page_duration_sec,median_page_duration_sec,std_page_duration_sec,min_page_duration_sec,max_page_duration_sec,page_number
el1,8,8,85.572625,80.52000000000001,38.57282678976966,36.152,156.008,1
el2,8,8,24.7525,20.139000000000003,13.731975489970223,11.399,53.273,2
el3,8,8,49.243125,43.782,21.51322000496771,11.322,78.01,3
el4,8,8,19.6475,18.031,7.50092897103895,9.892,30.513,4
el5,8,8,26.959125,21.8645,15.807645658600055,10.36,52.083,5
el6,8,8,25.970625000000002,22.6,12.869918447266313,10.189,46.441,6
el7,8,8,18.0475,18.512,6.07727514128307,9.026,30.199,7
el8,8,8,16.828,15.492,6.727174337820341,8.822,28.041,8
el9,8,8,25.148625,25.977,5.292716853982325,17.225,32.443,9
el10,8,8,14.0425,14.116,3.1494479788414615,8.833,19.701,10
