file,page,visit_number,page_url,screen_width,screen_height,calibration_accuracy,calibration_good,tracking_quality_good,eye_data_included,page_duration_sec,aoi_defined,screen_regression_count,screen_regression_rate_per_sec,screen_regressive_transition_ratio,text_regression_count,text_regression_rate_per_sec,text_regressive_transition_ratio,total_rows,valid_coordinate_rows,on_screen_rows,valid_coordinate_ratio,on_screen_ratio,median_sample_interval_ms,estimated_sampling_rate_hz,large_gap_count,largest_gap_ms,estimated_gap_loss_ratio,fixation_count,fixation_rate_per_sec,total_fixation_duration_sec,mean_fixation_duration_sec,median_fixation_duration_sec,p90_fixation_duration_sec,p95_fixation_duration_sec,max_fixation_duration_sec,text_fixation_count,text_dwell_time_sec,text_dwell_proportion,text_mean_fixation_sec,text_median_fixation_sec,text_visit_count,text_time_to_first_fixation_sec,image_fixation_count,image_dwell_time_sec,image_dwell_proportion,image_mean_fixation_sec,image_median_fixation_sec,image_visit_count,image_time_to_first_fixation_sec,text_to_image_transitions,image_to_text_transitions,text_image_transitions_total,page_number
p18_session_1766479503250_ljaoouiln_20251223_115310,el1,7,tasks/ellipsis/el1.html,1536.0,864.0,79.0,True,True,True,92.681,True,15,2.6776151374509096,0.42857142857142855,2.0,1.2634238787113077,0.5,1392,1392,1197,1.0,0.8599137931034483,60.0,16.666666666666668,0,158.0,0.0,36,0.388429127868711,5.602000000000001,0.15561111111111114,0.138,0.2455,0.30125,0.312,9.0,1.583,0.282577650838986,0.17588888888888887,0.139,5.0,2.187,11.0,1.571,0.28043555872902526,0.14281818181818182,0.126,3.0,7.39,2.0,1.0,3.0,1
p18_session_1766479503250_ljaoouiln_20251223_115310,el2,8,tasks/ellipsis/el2.html,1536.0,864.0,79.0,True,True,True,33.426,True,4,2.8776978417266186,0.4444444444444444,1.0,1.9157088122605364,0.5,495,495,448,1.0,0.9050505050505051,63.0,15.873015873015873,0,144.0,0.0,10,0.29916831209238315,1.3900000000000001,0.139,0.14400000000000002,0.1693,0.17065,0.172,4.0,0.522,0.3755395683453237,0.1305,0.132,2.0,2.524,2.0,0.27999999999999997,0.20143884892086328,0.13999999999999999,0.13999999999999999,1.0,12.087,0.0,0.0,0.0,2
p18_session_1766479503250_ljaoouiln_20251223_115310,el3,9,tasks/ellipsis/el3.html,1536.0,864.0,79.0,True,True,True,43.4,True,8,1.981178801386825,0.32,0.0,0.0,0.0,663,663,645,1.0,0.9728506787330317,60.0,16.666666666666668,0,139.0,0.0,26,0.599078341013825,4.038,0.1553076923076923,0.1345,0.2155,0.246,0.372,3.0,0.398,0.09856364536899455,0.13266666666666668,0.134,2.0,6.768,2.0,0.328,0.08122833085685983,0.164,0.164,2.0,26.399,1.0,0.0,1.0,3
p18_session_1766479503250_ljaoouiln_20251223_115310,el4,10,tasks/ellipsis/el4.html,1536.0,864.0,79.0,True,True,True,27.248,True,4,3.1201248049921997,0.5,0.0,0.0,,416,416,370,1.0,0.8894230769230769,59.0,16.949152542372882,0,133.0,0.0,9,0.33029947152084554,1.282,0.14244444444444446,0.133,0.201,0.201,0.201,1.0,0.133,0.10374414976599064,0.133,0.133,1.0,7.255,2.0,0.27,0.2106084243369735,0.135,0.135,1.0,3.391,0.0,1.0,1.0,4
p18_session_1766479503250_ljaoouiln_20251223_115310,el5,11,tasks/ellipsis/el5.html,1536.0,864.0,79.0,True,True,True,33.328,True,7,3.4163006344558324,0.5384615384615384,0.0,0.0,,527,527,474,1.0,0.8994307400379506,57.0,17.54385964912281,0,147.0,0.0,14,0.42006721075372055,2.049,0.14635714285714285,0.1365,0.19540000000000002,0.21409999999999998,0.231,3.0,0.365,0.17813567593948268,0.12166666666666666,0.127,3.0,2.955,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,5
p18_session_1766479503250_ljaoouiln_20251223_115310,el6,12,tasks/ellipsis/el6.html,1536.0,864.0,79.0,True,True,True,42.862,True,7,2.8865979381443303,0.4375,1.0,2.2026431718061676,1.0,692,692,564,1.0,0.815028901734104,57.0,17.54385964912281,0,136.0,0.0,17,0.3966217162054967,2.425,0.1426470588235294,0.129,0.20320000000000002,0.2152,0.22,4.0,0.45399999999999996,0.18721649484536082,0.11349999999999999,0.11299999999999999,3.0,9.362,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,6
p18_session_1766479503250_ljaoouiln_20251223_115310,el7,13,tasks/ellipsis/el7.html,1536.0,864.0,79.0,True,True,True,16.582,True,3,1.4641288433382136,0.2727272727272727,0.0,0.0,,270,270,218,1.0,0.8074074074074075,57.0,17.54385964912281,0,130.0,0.0,12,0.7236762754794355,2.0490000000000004,0.17075000000000004,0.1575,0.2105,0.2730999999999999,0.349,2.0,0.377,0.1839921913128355,0.1885,0.1885,2.0,1.912,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,7
p18_session_1766479503250_ljaoouiln_20251223_115310,el8,14,tasks/ellipsis/el8.html,1536.0,864.0,79.0,True,False,True,28.041,True,3,3.0674846625766876,0.5,0.0,,,452,452,218,1.0,0.4823008849557522,56.0,17.857142857142858,0,151.0,0.0,7,0.24963446382083376,0.9779999999999999,0.1397142857142857,0.122,0.184,0.1885,0.193,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,8
p18_session_1766479503250_ljaoouiln_20251223_115310,el9,15,tasks/ellipsis/el9.html,1536.0,864.0,79.0,True,False,True,17.225,True,3,2.7573529411764706,0.42857142857142855,0.0,,,280,280,161,1.0,0.575,56.0,17.857142857142858,0,150.0,0.0,8,0.46444121915820025,1.088,0.136,0.132,0.1757,0.18234999999999998,0.189,0.0,0.0,0.0,,,0.0,,1.0,0.102,0.09374999999999999,0.102,0.102,1.0,0.377,0.0,0.0,0.0,9
p18_session_1766479503250_ljaoouiln_20251223_115310,el10,16,tasks/ellipsis/el10.html,1536.0,864.0,79.0,True,False,True,19.701,True,1,1.6051364365971108,0.25,0.0,,,253,253,112,1.0,0.4426877470355731,71.0,14.084507042253522,0,187.0,0.0,5,0.2537942236434699,0.623,0.1246,0.128,0.148,0.151,0.154,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,10
